,commodity,year,Type,msprice,msp_filter
103,cotton,2015,Kharif Crops,3800.0,1
104,cotton_long staple,2015,Kharif Crops,4100.0,1
105,gr.nut kernels,2015,Kharif Crops,4030.0,1
106,sunflower,2015,Kharif Crops,3800.0,1
108,soyabean,2015,Kharif Crops,2600.0,1
109,sesamum,2015,Kharif Crops,4700.0,1
110,niger-seed,2015,Kharif Crops,3650.0,1
111,wheat(husked),2015,Rabi Crops,1525.0,1
112,wheat(unhusked),2015,Rabi Crops,1525.0,1
113,barli,2015,Rabi Crops,1225.0,1
114,gram_yellow,2015,Rabi Crops,3425.0,1
115,masur_yellow,2015,Rabi Crops,3325.0,1
116,mustard,2015,Rabi Crops,3350.0,1
117,safflower,2015,Rabi Crops,3300.0,1
118,toria_yellow,2015,Rabi Crops,3290.0,1
119,copra (milling)_yellow,2015,Other Crops,5550.0,1
120,copra (ball)_yellow,2015,Other Crops,5830.0,1
121,coconut,2015,Other Crops,1500.0,1
122,jute_yellow,2015,Other Crops,2700.0,1
123,sugar-cane,2015,Other Crops,230.0,1
124,paddy-unhusked,2016,Kharif Crops,1470.0,1
125,rice(paddy-hus),2016,Kharif Crops,1510.0,1
126,jowar_hybrid,2016,Kharif Crops,1625.0,1
127,sorgum(jawar),2016,Kharif Crops,1650.0,1
128,bajri,2016,Kharif Crops,1330.0,1
129,maize,2016,Kharif Crops,1365.0,1
130,ragi_maldandi,2016,Kharif Crops,1725.0,1
131,pigeon pea (tur),2016,Kharif Crops,4625.0,1
132,spilt gerrn gram,2016,Kharif Crops,4800.0,1
133,split black gram,2016,Kharif Crops,4575.0,1
134,cotton,2016,Kharif Crops,3860.0,1
135,cotton_long staple,2016,Kharif Crops,4160.0,1
136,gr.nut kernels,2016,Kharif Crops,4120.0,1
137,sunflower,2016,Kharif Crops,3850.0,1
139,soyabean,2016,Kharif Crops,2675.0,1
140,sesamum,2016,Kharif Crops,4800.0,1
141,niger-seed,2016,Kharif Crops,3725.0,1
150,copra (milling)_yellow,2016,Other Crops,5950.0,1
151,copra (ball)_yellow,2016,Other Crops,6240.0,1
152,coconut,2016,Other Crops,1600.0,1
153,jute_yellow,2016,Other Crops,3200.0,1
154,sugarcane,2016,Other Crops,230.0,1
